t,x,y,pupil
0.0,0.432,0.608,2.916
0.033,0.4399,0.5936,3.761
0.067,0.4559,0.5936,3.845
0.1,0.4621,0.5897,3.492
0.133,0.4307,0.5937,3.564
0.167,0.429,0.5999,3.776
0.2,0.4516,0.6089,3.362
0.233,0.4429,0.6031,3.689
0.267,0.4434,0.5756,3.363
0.3,0.4453,0.5828,3.142
0.333,0.4301,0.607,3.261
0.367,0.4283,0.6103,4.175
0.4,0.4422,0.6019,3.696
0.433,0.4347,0.6369,3.383
0.467,0.4341,0.6168,3.675
0.5,0.4511,0.6186,3.456
0.533,0.4536,0.5913,3.481
0.567,0.4441,0.6056,3.571
0.6,0.4604,0.5752,3.508
0.633,0.4369,0.5908,4.075
0.667,0.4305,0.599,3.964
0.7,0.4533,0.603,3.459
0.733,0.4467,0.5944,3.304
0.767,0.444,0.5937,2.868
0.8,0.4501,0.6149,3.745
0.833,0.4394,0.608,3.356
0.867,0.4687,0.5837,3.353
0.9,0.4295,0.6024,3.035
0.933,0.4163,0.5977,4.241
0.967,0.4455,0.5955,3.258
1.0,0.4616,0.5932,3.908
1.033,0.4251,0.6054,3.592
1.067,0.4431,0.5995,3.536
1.1,0.4472,0.6065,3.601
1.133,0.429,0.6189,3.055
1.167,0.4378,0.605,3.553
1.2,0.4335,0.6108,3.103
1.233,0.4299,0.6239,3.513
1.267,0.434,0.6431,3.497
1.3,0.4342,0.607,3.777
1.333,0.4416,0.607,3.572
1.367,0.4317,0.5803,3.523
1.4,0.4296,0.6013,4.092
1.433,0.433,0.5969,3.467
1.467,0.435,0.598,3.75
1.5,0.4421,0.5841,3.188
1.533,0.4299,0.581,3.379
1.567,0.4273,0.6075,2.547
1.6,0.4372,0.587,2.98
1.633,0.4261,0.5901,3.916
1.667,0.423,0.6085,3.17
1.7,0.4501,0.5914,3.613
1.733,0.4497,0.6033,3.58
1.767,0.4372,0.6165,3.756
1.8,0.4537,0.5744,4.32
1.833,0.4571,0.6015,3.543
1.867,0.4257,0.6165,3.302
1.9,0.4363,0.6022,3.649
1.933,0.4375,0.6016,4.149
1.967,0.4322,0.6044,3.801
2.0,0.6516,0.5848,4.097
2.033,0.6449,0.581,3.509
2.067,0.6489,0.5586,3.012
2.1,0.639,0.5993,3.064
2.133,0.6603,0.5911,3.779
2.167,0.6409,0.5893,3.774
2.2,0.6299,0.559,3.058
2.233,0.6436,0.5745,2.5
2.267,0.6359,0.5748,3.319
2.3,0.6422,0.5933,3.394
2.333,0.6448,0.5951,2.985
2.367,0.6367,0.5723,3.482
