t,x,y,pupil
0.0,0.5566,0.35,3.581
0.033,0.5549,0.3543,3.666
0.067,0.5275,0.3207,3.018
0.1,0.5389,0.3191,3.942
0.133,0.5835,0.3195,2.766
0.167,0.5432,0.3256,3.631
0.2,0.5867,0.3465,3.731
0.233,0.5485,0.3448,3.877
0.267,0.5231,0.3545,3.586
0.3,0.5843,0.3577,3.727
0.333,0.564,0.3068,3.825
0.367,0.5304,0.3312,2.491
0.4,0.53,0.3449,2.909
0.433,0.5672,0.3602,3.427
0.467,0.5833,0.3556,3.19
0.5,0.5651,0.3292,2.883
0.533,0.538,0.359,2.97
0.567,0.5449,0.3244,3.846
0.6,0.5357,0.307,3.793
0.633,0.5991,0.3497,2.42
0.667,0.5645,0.3151,3.293
0.7,0.5437,0.3179,3.827
0.733,0.5517,0.3524,3.137
0.767,0.5485,0.2964,3.633
0.8,0.5577,0.3637,3.716
0.833,0.5475,0.33,3.978
0.867,0.5815,0.3298,3.425
0.9,0.5687,0.3099,4.124
0.933,0.3174,0.2608,3.554
0.967,0.3189,0.2572,4.219
1.0,0.3411,0.257,3.444
1.033,0.3158,0.2607,3.862
1.067,0.3229,0.2653,3.989
1.1,0.3402,0.2267,3.651
1.133,0.3404,0.2351,3.287
1.167,0.3314,0.2628,3.446
1.2,0.3721,0.2338,3.635
1.233,0.3632,0.2356,3.426
1.267,0.3435,0.2467,3.146
1.3,0.3477,0.2422,3.796
1.333,0.347,0.2543,3.365
1.367,0.3216,0.2383,3.309
1.4,0.3806,0.2574,3.312
1.433,0.3379,0.2326,3.865
1.467,0.3396,0.2535,3.673
1.5,0.3382,0.2849,3.55
1.533,0.3692,0.2672,3.315
1.567,0.3359,0.2801,3.637
1.6,0.348,0.2754,3.393
1.633,0.3177,0.2592,3.564
1.667,0.3446,0.2154,3.343
1.7,0.3365,0.2571,4.423
1.733,0.3444,0.2527,3.213
1.767,0.3061,0.2533,2.858
1.8,0.366,0.2436,3.579
1.833,0.3605,0.2543,3.919
1.867,0.5913,0.587,3.37
1.9,0.6058,0.6195,3.167
1.933,0.6133,0.599,3.509
1.967,0.6062,0.596,3.343
2.0,0.5859,0.6337,3.63
2.033,0.5826,0.5853,3.749
2.067,0.5732,0.5869,3.712
2.1,0.6246,0.6247,2.757
2.133,0.58,0.6037,3.367
2.167,0.6049,0.5853,2.771
2.2,0.5946,0.5909,3.455
2.233,0.5928,0.6263,3.041
2.267,0.5965,0.6246,3.933
