t,x,y,pupil
0.0,0.2013,0.7314,3.142
0.033,0.18,0.7368,3.968
0.067,0.1722,0.7463,4.48
0.1,0.1621,0.7116,3.85
0.133,0.2052,0.7526,4.26
0.167,0.1653,0.7327,3.284
0.2,0.1761,0.7663,3.73
0.233,0.1747,0.7432,3.422
0.267,0.1681,0.7302,3.272
0.3,0.1838,0.771,3.667
0.333,0.1893,0.7495,3.694
0.367,0.1767,0.7475,3.283
0.4,0.191,0.7396,3.565
0.433,0.2079,0.7432,3.541
0.467,0.1712,0.7666,4.614
0.5,0.1971,0.754,4.101
0.533,0.1682,0.748,3.166
0.567,0.1998,0.7397,4.341
0.6,0.1627,0.7704,3.689
0.633,0.1759,0.7371,2.633
0.667,0.1655,0.721,3.393
0.7,0.1689,0.7514,3.281
0.733,0.1856,0.7445,3.479
0.767,0.1653,0.7594,3.189
0.8,0.1824,0.7548,3.058
0.833,0.1898,0.7225,2.98
0.867,0.2011,0.7544,3.686
0.9,0.1435,0.7582,3.312
0.933,0.171,0.7612,2.895
0.967,0.475,0.3159,3.921
1.0,0.4729,0.3273,3.882
1.033,0.4962,0.3207,3.481
1.067,0.4519,0.3292,3.151
1.1,0.4749,0.3483,3.853
1.133,0.4501,0.3014,2.575
1.167,0.4589,0.3294,3.205
1.2,0.4786,0.3463,4.36
1.233,0.4719,0.3272,3.632
1.267,0.4715,0.3196,3.415
1.3,0.4575,0.345,3.384
1.333,0.4662,0.2947,3.658
1.367,0.4589,0.3417,2.551
1.4,0.468,0.3289,3.958
1.433,0.4835,0.3121,3.096
1.467,0.4648,0.3445,3.583
1.5,0.4813,0.3426,3.455
1.533,0.4638,0.3262,3.086
1.567,0.4437,0.3327,3.667
1.6,0.4683,0.3224,3.422
1.633,0.4583,0.3503,3.581
1.667,0.4739,0.3434,3.205
1.7,0.465,0.3499,3.429
1.733,0.4893,0.3382,3.096
1.767,0.4731,0.3359,3.219
1.8,0.4803,0.3523,3.678
1.833,0.465,0.3321,3.369
1.867,0.4869,0.3384,3.695
1.9,0.4572,0.3451,3.274
1.933,0.4706,0.3227,2.524
1.967,0.4603,0.3278,3.072
2.0,0.4729,0.3092,4.0
2.033,0.4799,0.3498,2.821
2.067,0.4762,0.3214,3.478
2.1,0.4701,0.3515,3.766
2.133,0.5234,0.4986,3.822
2.167,0.5196,0.4961,2.973
2.2,0.5538,0.4729,3.131
2.233,0.5316,0.4949,3.829
2.267,0.5631,0.5199,2.899
2.3,0.5475,0.5103,3.39
2.333,0.5574,0.4781,3.748
2.367,0.5354,0.5239,2.883
2.4,0.5625,0.509,3.534
2.433,0.5316,0.4816,3.57
2.467,0.5359,0.5125,4.021
2.5,0.5413,0.5159,4.106
2.533,0.5482,0.5004,3.691
2.567,0.5369,0.4667,3.481
2.6,0.5305,0.4883,2.549
2.633,0.5219,0.5082,3.704
2.667,0.546,0.5178,3.203
2.7,0.5233,0.4995,3.206
2.733,0.5278,0.5076,3.915
2.767,0.5733,0.4816,3.99
2.8,0.5332,0.5137,3.863
2.833,0.5638,0.5098,3.933
2.867,0.5322,0.507,3.799
2.9,0.5616,0.4868,3.529
2.933,0.544,0.5159,4.214
2.967,0.5072,0.5007,3.434
3.0,0.5445,0.5139,3.751
3.033,0.5474,0.5046,3.508
3.067,0.5412,0.4987,3.21
