t,x,y,pupil
0.0,0.7143,0.2648,3.449
0.033,0.7704,0.2722,3.87
0.067,0.7033,0.2522,4.526
0.1,0.7468,0.2795,3.469
0.133,0.7192,0.3051,2.762
0.167,0.7413,0.2672,4.145
0.2,0.7574,0.297,3.273
0.233,0.7422,0.2611,3.102
0.267,0.7693,0.2671,3.692
0.3,0.7505,0.2679,3.899
0.333,0.7869,0.2644,3.449
0.367,0.7597,0.2698,3.966
0.4,0.7787,0.2492,3.908
0.433,0.7519,0.2705,3.327
0.467,0.7531,0.2694,3.303
0.5,0.7243,0.2778,4.064
0.533,0.7396,0.2534,3.385
0.567,0.7225,0.2605,3.212
0.6,0.7494,0.2647,3.753
0.633,0.7675,0.2993,3.669
0.667,0.7357,0.2178,3.408
0.7,0.7377,0.2779,3.28
0.733,0.7359,0.2244,3.719
0.767,0.7509,0.2315,4.01
0.8,0.7746,0.254,3.643
0.833,0.7253,0.2831,2.839
0.867,0.705,0.2581,3.476
0.9,0.7302,0.2313,3.068
0.933,0.7545,0.2846,3.67
0.967,0.7226,0.2783,2.919
1.0,0.7753,0.2809,3.747
1.033,0.7493,0.2451,3.727
1.067,0.745,0.2615,3.92
1.1,0.7424,0.2294,3.527
1.133,0.7535,0.2549,4.495
1.167,0.7215,0.2616,3.17
1.2,0.761,0.5286,3.944
1.233,0.774,0.484,3.526
1.267,0.7427,0.4862,3.61
1.3,0.7409,0.5115,3.197
1.333,0.7787,0.523,3.343
1.367,0.7312,0.4775,3.65
1.4,0.7534,0.4711,3.048
1.433,0.7469,0.4806,3.295
1.467,0.7731,0.476,3.236
1.5,0.7478,0.5041,3.603
1.533,0.7473,0.4835,3.106
1.567,0.7313,0.5105,3.035
1.6,0.757,0.4965,3.309
1.633,0.7431,0.4941,3.981
1.667,0.7392,0.4998,3.34
1.7,0.7455,0.5055,3.809
1.733,0.7304,0.502,4.094
1.767,0.7377,0.4997,3.273
1.8,0.7415,0.4935,3.218
1.833,0.7459,0.4861,3.356
1.867,0.7355,0.4878,3.414
