t,x,y,pupil
0.0,0.9211,0.795,3.924
0.033,0.9203,0.747,3.447
0.067,0.919,0.7689,3.361
0.1,0.9084,0.7507,3.255
0.133,0.9415,0.7694,3.561
0.167,0.9287,0.7588,3.37
0.2,0.9097,0.7897,3.234
0.233,0.9002,0.7839,3.735
0.267,0.9406,0.7258,4.507
0.3,0.9481,0.758,3.333
0.333,0.9154,0.7359,3.58
0.367,0.9074,0.7689,3.993
0.4,0.8943,0.7423,3.321
0.433,0.9221,0.7481,4.197
0.467,0.9049,0.7598,2.646
0.5,0.9168,0.7772,3.222
0.533,0.9115,0.7602,3.703
0.567,0.8913,0.7688,3.343
0.6,0.9105,0.7398,2.533
0.633,0.8689,0.7639,4.024
0.667,0.661,0.3893,4.169
0.7,0.6505,0.4085,4.175
0.733,0.6463,0.406,3.402
0.767,0.6607,0.3772,2.817
0.8,0.6468,0.3307,3.737
0.833,0.6362,0.372,3.576
0.867,0.6508,0.3965,2.694
0.9,0.6542,0.402,3.203
0.933,0.6809,0.3757,3.243
0.967,0.6618,0.3541,3.404
1.0,0.6666,0.3763,3.844
1.033,0.659,0.3882,3.158
1.067,0.638,0.3938,3.804
1.1,0.6879,0.3503,3.64
1.133,0.6646,0.3741,3.612
1.167,0.6542,0.4109,3.81
1.2,0.6477,0.3472,3.688
1.233,0.6793,0.3887,3.93
1.267,0.6463,0.3605,3.409
1.3,0.6527,0.3546,2.99
1.333,0.677,0.3588,4.165
1.367,0.6634,0.3508,3.756
1.4,0.6481,0.3619,3.739
1.433,0.6725,0.409,3.914
1.467,0.6699,0.3678,2.893
1.5,0.6475,0.3616,4.403
1.533,0.6362,0.3669,3.708
1.567,0.6549,0.4037,3.169
1.6,0.9137,0.0065,3.328
1.633,0.9342,0.0404,3.653
1.667,0.9359,0.0047,3.688
1.7,0.9075,0.0018,3.379
1.733,0.9184,0.0,3.542
1.767,0.9386,0.0,3.641
1.8,0.8821,0.0138,2.846
1.833,0.9121,0.0117,3.115
1.867,0.9302,0.0087,3.195
1.9,0.9202,0.0,3.529
1.933,0.9174,0.0085,3.474
1.967,0.948,0.0,4.107
2.0,0.8962,0.0023,3.472
2.033,0.9322,0.0,2.988
2.067,0.9399,0.0,3.51
2.1,0.9328,0.0064,2.334
2.133,0.9185,0.0,3.408
2.167,0.9292,0.0,2.966
2.2,0.9564,0.0007,3.963
2.233,0.9203,0.0,4.293
2.267,0.9522,0.0172,3.25
2.3,0.914,0.0,3.001
2.333,0.9411,0.0303,3.907
2.367,0.9199,0.0117,3.618
2.4,0.9358,0.003,3.429
2.433,0.9548,0.0152,3.366
2.467,0.9092,0.0032,3.392
2.5,0.9031,0.0,3.291
2.533,0.9136,0.0,3.806
2.567,0.9173,0.0029,3.924
2.6,0.9338,0.0037,3.553
2.633,0.917,0.0025,3.868
2.667,0.9369,0.0306,3.61
2.7,0.6396,0.4676,3.594
2.733,0.7059,0.5167,3.249
2.767,0.6795,0.4776,3.77
2.8,0.7062,0.517,3.68
2.833,0.6464,0.4817,4.045
2.867,0.6926,0.5217,4.033
2.9,0.6863,0.5041,3.296
2.933,0.7173,0.5093,3.452
2.967,0.7085,0.5074,3.772
3.0,0.7168,0.5033,3.249
3.033,0.6962,0.5142,3.825
3.067,0.7,0.5158,3.355
3.1,0.7058,0.5073,3.702
3.133,0.6891,0.528,4.078
3.167,0.6954,0.5086,3.497
3.2,0.6696,0.4961,3.259
3.233,0.6714,0.5122,3.811
3.267,0.6861,0.488,3.74
3.3,0.7129,0.5072,3.895
3.333,0.6881,0.5467,3.371
3.367,0.6999,0.465,3.526
3.4,0.718,0.5118,3.314
3.433,0.7385,0.5372,4.256
3.467,0.6795,0.5163,3.306
3.5,0.6664,0.5058,4.046
3.533,0.6707,0.506,3.266
3.567,0.6971,0.524,3.49
3.6,0.6852,0.5347,3.319
3.633,0.661,0.486,4.033
3.667,0.6932,0.5035,3.583
3.7,0.8803,0.5425,3.559
3.733,0.8985,0.5503,3.662
3.767,0.8768,0.5532,3.005
3.8,0.9139,0.5329,3.352
3.833,0.8963,0.5443,3.638
3.867,0.8942,0.5662,2.969
3.9,0.8705,0.5299,4.112
3.933,0.8904,0.5716,3.582
3.967,0.9203,0.5506,4.213
4.0,0.896,0.542,3.732
4.033,0.8762,0.5634,3.781
4.067,0.9063,0.5533,4.134
4.1,0.8927,0.5578,3.581
4.133,0.8819,0.5523,3.121
4.167,0.8747,0.5551,3.481
4.2,0.9141,0.5257,3.527
4.233,0.8793,0.5712,3.057
4.267,0.8676,0.1891,3.291
4.3,0.8933,0.1992,3.535
4.333,0.8107,0.2001,3.891
4.367,0.8571,0.1619,3.573
4.4,0.8695,0.1584,3.649
4.433,0.8907,0.1638,4.772
4.467,0.8625,0.217,3.536
4.5,0.8732,0.2168,3.797
4.533,0.865,0.203,4.021
4.567,0.8992,0.1678,3.597
4.6,0.8365,0.1851,4.181
4.633,0.8381,0.1695,1.937
4.667,0.8764,0.1887,3.551
4.7,0.8728,0.2115,3.503
4.733,0.882,0.1967,3.566
4.767,0.8858,0.1991,3.73
4.8,0.9014,0.1799,2.633
4.833,0.8406,0.182,3.688
4.867,0.8475,0.1812,3.616
4.9,0.8356,0.2147,2.88
4.933,0.8889,0.179,3.968
4.967,0.8654,0.1983,3.931
5.0,0.8657,0.2548,2.612
5.033,0.8861,0.2005,3.081
5.067,0.8671,0.1691,3.104
5.1,0.3898,0.6822,3.926
5.133,0.3785,0.668,3.927
5.167,0.3386,0.6917,3.372
5.2,0.4135,0.6323,3.702
