t,x,y,pupil
0.0,1.0,0.1755,3.605
0.033,1.0,0.1377,3.352
0.067,0.9992,0.1889,3.233
0.1,0.9715,0.1965,4.023
0.133,1.0,0.2066,3.371
0.167,0.9903,0.2096,3.49
0.2,1.0,0.17,3.02
0.233,0.9928,0.1631,3.54
0.267,0.9968,0.1605,3.007
0.3,1.0,0.1906,4.637
0.333,1.0,0.1913,3.133
0.367,0.9808,0.1851,3.79
0.4,0.9847,0.1466,3.145
0.433,1.0,0.165,3.406
0.467,0.9744,0.2146,3.67
0.5,0.9875,0.1914,3.523
0.533,0.995,0.1895,4.218
0.567,0.9961,0.1737,3.786
0.6,1.0,0.1847,3.24
0.633,0.9866,0.2201,3.156
0.667,0.9861,0.1886,4.003
0.7,0.9499,0.1576,4.092
0.733,0.9871,0.1822,3.429
0.767,0.9601,0.1896,3.95
0.8,0.9714,0.2123,3.525
0.833,0.1434,0.4566,3.552
0.867,0.1902,0.4018,2.958
0.9,0.1581,0.4213,2.877
0.933,0.2109,0.3887,2.813
0.967,0.2079,0.4591,3.679
1.0,0.1758,0.418,3.139
1.033,0.1962,0.4808,3.715
1.067,0.1886,0.4216,3.935
1.1,0.186,0.429,4.38
1.133,0.2094,0.4395,3.105
1.167,0.2022,0.4542,3.584
1.2,0.1915,0.4531,3.186
1.233,0.2241,0.432,3.627
1.267,0.2143,0.4585,3.742
1.3,0.1538,0.4399,3.574
1.333,0.2004,0.4612,3.435
1.367,0.1875,0.4352,3.73
1.4,0.1794,0.4257,3.616
1.433,0.2108,0.4447,3.882
1.467,0.1602,0.4447,3.973
1.5,0.1939,0.4468,3.834
1.533,0.1987,0.4487,3.203
1.567,0.2056,0.4021,3.099
1.6,0.9633,0.0,3.412
1.633,1.0,0.0002,3.79
1.667,1.0,0.0264,3.694
1.7,1.0,0.016,3.812
1.733,0.9802,0.0392,2.724
1.767,1.0,0.0164,3.939
1.8,0.98,0.0301,3.14
1.833,0.9814,0.0,3.523
1.867,1.0,0.0,3.489
1.9,0.9594,0.0,3.575
1.933,1.0,0.0,3.214
1.967,0.9942,0.0,3.462
2.0,0.985,0.0344,3.116
2.033,0.9825,0.0,3.422
2.067,1.0,0.0,3.543
2.1,0.9915,0.0,3.866
2.133,0.9955,0.023,3.856
2.167,1.0,0.0,3.184
2.2,0.9611,0.0,3.229
2.233,0.9948,0.0007,3.786
2.267,1.0,0.0,3.433
2.3,1.0,0.0036,3.845
2.333,1.0,0.0234,3.751
2.367,1.0,0.0078,4.192
2.4,0.999,0.0,4.15
2.433,0.3503,0.4897,3.357
2.467,0.3458,0.5034,2.626
2.5,0.3475,0.47,2.87
2.533,0.3321,0.4527,4.07
2.567,0.3559,0.5058,3.044
2.6,0.3719,0.5393,3.672
2.633,0.3346,0.4771,3.758
2.667,0.3545,0.4728,3.586
2.7,0.365,0.4739,4.09
2.733,0.3401,0.4072,3.241
2.767,0.362,0.485,3.872
2.8,0.3584,0.4522,3.599
2.833,0.3538,0.4626,3.382
2.867,0.369,0.4386,3.265
2.9,0.3495,0.476,3.356
2.933,0.3244,0.5078,2.902
2.967,0.3439,0.514,2.937
3.0,0.3896,0.4642,3.615
3.033,0.3512,0.5099,2.975
3.067,0.3812,0.4865,3.774
3.1,0.3688,0.4482,2.977
3.133,0.3659,0.4647,3.72
3.167,0.3762,0.447,3.829
3.2,0.3475,0.4742,3.269
3.233,0.3599,0.4729,4.015
3.267,0.3544,0.4857,3.392
