t,x,y,pupil
0.0,0.368,0.108,3.683
0.033,0.3641,0.1377,3.153
0.067,0.3799,0.1309,2.626
0.1,0.3947,0.1627,3.864
0.133,0.3878,0.1512,3.584
0.167,0.3966,0.1403,4.082
0.2,0.394,0.102,3.285
0.233,0.41,0.1543,3.12
0.267,0.4018,0.1259,3.993
0.3,0.3884,0.1539,3.076
0.333,0.3429,0.1534,3.791
0.367,0.4126,0.1333,4.074
0.4,0.3874,0.1235,3.558
0.433,0.4203,0.1381,4.041
0.467,0.3859,0.1439,3.622
0.5,0.3765,0.1328,2.92
0.533,0.3735,0.1601,4.452
0.567,0.3696,0.1571,3.213
0.6,0.4037,0.1393,2.746
0.633,0.3718,0.2548,3.867
0.667,0.4018,0.206,3.27
0.7,0.3738,0.2197,3.739
0.733,0.3605,0.2459,3.424
0.767,0.3965,0.2041,3.459
0.8,0.3536,0.2202,4.192
0.833,0.3524,0.2252,4.082
0.867,0.3907,0.2362,3.983
0.9,0.3706,0.2279,3.978
0.933,0.3453,0.265,3.239
0.967,0.382,0.2483,4.084
1.0,0.3661,0.2399,3.914
1.033,0.3778,0.2454,3.989
1.067,0.4001,0.2434,3.041
1.1,0.3789,0.2202,4.228
1.133,0.3922,0.2236,3.52
1.167,0.3415,0.2588,3.52
1.2,0.3734,0.2243,3.168
1.233,0.3587,0.2429,3.218
1.267,0.3802,0.2364,3.879
1.3,0.3788,0.2461,3.349
1.333,0.5893,0.8411,3.272
1.367,0.578,0.8267,3.954
1.4,0.5739,0.8261,3.975
1.433,0.5715,0.8264,4.22
1.467,0.6053,0.8084,3.532
1.5,0.5588,0.8294,3.189
1.533,0.5609,0.8253,3.663
1.567,0.5954,0.8353,3.574
1.6,0.5942,0.8291,3.035
1.633,0.5924,0.824,2.696
1.667,0.5913,0.8324,3.556
1.7,0.5808,0.8243,3.136
1.733,0.5117,0.8267,3.015
1.767,0.5686,0.8539,3.373
1.8,0.5963,0.8118,4.447
1.833,0.5981,0.8233,3.513
1.867,0.5678,0.817,3.86
1.9,0.5784,0.7871,3.344
1.933,0.1123,0.0034,3.892
1.967,0.0599,0.0116,3.182
2.0,0.1116,0.0077,3.772
2.033,0.0823,0.0,3.238
2.067,0.1384,0.0007,4.063
2.1,0.0745,0.0015,3.927
2.133,0.1037,0.0046,3.778
2.167,0.1006,0.0,3.849
2.2,0.0657,0.0,3.474
2.233,0.0649,0.0229,3.328
2.267,0.1023,0.0,3.925
2.3,0.0713,0.0,3.651
2.333,0.0678,0.0047,3.187
2.367,0.0897,0.0113,3.355
2.4,0.1222,0.0059,3.256
2.433,0.0714,0.0,3.254
2.467,0.0684,0.0041,3.719
2.5,0.1022,0.0,3.541
2.533,0.1154,0.0,3.069
2.567,0.0775,0.0378,2.834
2.6,0.0847,0.0047,3.425
2.633,0.1021,0.0,3.631
2.667,0.3387,0.4963,3.726
2.7,0.3135,0.4774,4.026
2.733,0.3329,0.511,3.035
2.767,0.3028,0.5102,3.621
2.8,0.3412,0.4751,3.626
2.833,0.2872,0.4832,3.785
2.867,0.27,0.5386,3.778
2.9,0.2825,0.5011,3.558
2.933,0.3312,0.49,3.771
2.967,0.3145,0.4407,3.691
3.0,0.3104,0.4875,2.947
3.033,0.3376,0.4928,3.438
3.067,0.3708,0.4745,3.66
3.1,0.3232,0.4665,3.787
3.133,0.3267,0.4597,3.003
3.167,0.3153,0.4823,3.252
3.2,0.3048,0.4795,3.245
3.233,0.3017,0.4862,3.539
3.267,0.3201,0.4743,3.2
3.3,0.2982,0.5204,3.228
3.333,0.3387,0.5259,4.068
3.367,0.3043,0.4592,3.268
3.4,0.2989,0.4854,2.91
3.433,0.3166,0.5311,3.723
3.467,0.3277,0.45,3.444
3.5,0.2822,0.4719,4.091
3.533,0.3232,0.4731,3.574
3.567,0.3117,0.4808,3.161
3.6,0.3733,0.5029,2.9
3.633,0.3188,0.4765,3.489
3.667,0.319,0.4702,3.516
3.7,0.3236,0.4914,3.429
3.733,0.3632,0.4766,3.974
3.767,0.3334,0.4492,3.818
3.8,0.3551,0.4841,3.178
3.833,0.3073,0.4748,3.079
3.867,0.3397,0.4437,3.091
3.9,0.3509,0.5159,3.425
3.933,0.3293,0.4792,3.528
3.967,0.3342,0.4704,3.688
4.0,0.2911,0.4234,2.623
4.033,0.2641,0.4075,3.829
4.067,0.279,0.4185,3.668
4.1,0.2521,0.4013,3.68
4.133,0.2222,0.4103,3.531
4.167,0.2778,0.44,4.266
4.2,0.2451,0.4226,2.952
4.233,0.237,0.4521,3.819
4.267,0.2589,0.4088,3.338
4.3,0.2995,0.3931,3.283
4.333,0.2674,0.4039,4.229
4.367,0.2257,0.4209,3.641
4.4,0.2602,0.4346,2.918
4.433,0.2663,0.4233,3.771
4.467,0.2626,0.4055,3.498
4.5,0.2064,0.4375,4.134
4.533,0.2512,0.4198,3.252
4.567,0.248,0.4646,3.362
4.6,0.252,0.3976,3.196
4.633,0.5698,0.198,3.638
4.667,0.5983,0.1729,3.778
4.7,0.5831,0.1925,3.515
4.733,0.5865,0.2131,4.184
4.767,0.5939,0.2099,3.613
4.8,0.5867,0.1793,2.555
4.833,0.6154,0.204,2.34
4.867,0.5496,0.2095,3.218
4.9,0.6298,0.1942,3.586
4.933,0.5893,0.2105,3.458
4.967,0.5862,0.2135,3.713
5.0,0.5613,0.1941,4.041
5.033,0.5963,0.1909,4.001
5.067,0.5817,0.1964,3.887
5.1,0.5576,0.2001,3.54
5.133,0.5642,0.1895,4.034
5.167,0.598,0.1723,3.818
5.2,0.6206,0.1929,3.413
5.233,0.566,0.2015,4.08
5.267,0.5977,0.184,3.376
5.3,0.325,0.1684,3.385
5.333,0.3127,0.2033,3.227
5.367,0.3684,0.1796,3.306
5.4,0.3363,0.1819,3.38
5.433,0.3488,0.1563,2.794
5.467,0.3378,0.2151,3.329
5.5,0.3429,0.1881,3.39
5.533,0.32,0.2045,3.318
5.567,0.3485,0.1808,3.853
5.6,0.3309,0.156,3.32
5.633,0.3629,0.2032,3.352
5.667,0.3517,0.1731,4.346
5.7,0.3283,0.1823,3.29
5.733,0.342,0.1732,3.5
5.767,0.3533,0.1581,3.625
5.8,0.2566,0.6464,3.289
5.833,0.3139,0.6644,3.075
5.867,0.2965,0.6942,3.552
5.9,0.271,0.67,3.554
5.933,0.2788,0.6875,2.973
5.967,0.2738,0.6782,3.406
6.0,0.2573,0.6568,3.366
6.033,0.2917,0.6485,3.273
6.067,0.2686,0.6492,3.182
6.1,0.2689,0.6715,3.951
6.133,0.3011,0.6364,3.414
6.167,0.2669,0.6131,3.801
6.2,0.2949,0.6623,3.842
6.233,0.2599,0.6855,3.248
6.267,0.2766,0.6591,3.56
6.3,0.2595,0.6643,3.399
6.333,0.2467,0.6387,3.412
6.367,0.2469,0.6432,3.223
6.4,0.3069,0.6502,2.643
6.433,0.2286,0.661,2.647
6.467,0.2982,0.6721,3.367
6.5,0.2549,0.6348,3.998
6.533,0.2904,0.6193,3.115
6.567,0.2698,0.6331,3.447
6.6,1.0,0.241,3.163
6.633,1.0,0.1929,4.123
6.667,1.0,0.2236,3.996
6.7,0.9858,0.2145,3.358
6.733,1.0,0.1994,3.187
6.767,0.989,0.2127,3.273
6.8,0.9814,0.2128,3.635
6.833,0.9886,0.2115,3.926
6.867,1.0,0.1992,3.832
6.9,1.0,0.2068,3.561
6.933,1.0,0.201,3.508
6.967,0.987,0.2131,3.451
7.0,0.9851,0.2379,3.339
7.033,0.9601,0.1862,3.166
7.067,1.0,0.2126,2.975
7.1,0.9902,0.1788,3.332
7.133,1.0,0.2423,3.651
7.167,1.0,0.2096,3.176
7.2,0.9859,0.1805,3.663
7.233,0.9889,0.195,3.088
7.267,0.9918,0.1769,3.127
7.3,0.9927,0.2154,3.911
7.333,1.0,0.1947,3.315
7.367,1.0,0.1883,3.718
7.4,0.995,0.2198,4.35
7.433,1.0,0.238,4.261
7.467,0.9786,0.2348,3.207
7.5,0.9667,0.2109,3.088
7.533,0.9935,0.2103,3.284
7.567,0.987,0.1928,3.667
7.6,1.0,0.1869,2.933
7.633,1.0,0.2285,3.483
7.667,0.9864,0.2358,3.654
7.7,0.9937,0.1826,4.519
7.733,1.0,0.2151,3.742
7.767,0.9827,0.2246,3.193
7.8,0.9705,0.1969,2.975
7.833,0.4611,0.9909,3.46
7.867,0.4588,0.947,3.171
7.9,0.4507,1.0,4.422
7.933,0.4511,1.0,3.953
7.967,0.4629,1.0,3.597
