t,x,y,pupil
0.0,0.652,0.8509,3.856
0.033,0.6189,0.8596,3.976
0.067,0.6202,0.8655,3.385
0.1,0.6277,0.8756,3.63
0.133,0.6583,0.8243,2.512
0.167,0.6342,0.7942,3.335
0.2,0.6259,0.8278,3.284
0.233,0.6636,0.8479,2.691
0.267,0.6641,0.8169,3.481
0.3,0.6137,0.8611,3.371
0.333,0.624,0.818,3.77
0.367,0.6404,0.8761,3.269
0.4,0.6692,0.8127,3.647
0.433,0.6009,0.8365,3.784
0.467,0.6049,0.8459,3.52
0.5,0.645,0.8452,3.601
0.533,0.627,0.8037,4.124
0.567,0.6408,0.8305,3.007
0.6,0.6381,0.8821,2.91
0.633,0.6581,0.8451,4.126
0.667,0.6305,0.8594,3.9
0.7,0.6497,0.8481,3.134
0.733,0.6121,0.8162,3.965
0.767,0.6195,0.7992,4.042
0.8,0.6253,0.8324,3.663
0.833,0.6376,0.8237,3.66
0.867,1.0,0.4428,3.673
0.9,1.0,0.4445,3.163
0.933,1.0,0.4058,3.891
0.967,1.0,0.429,2.868
1.0,1.0,0.4223,3.818
1.033,0.9996,0.4123,4.141
1.067,1.0,0.4129,3.435
1.1,0.9682,0.3894,3.968
1.133,1.0,0.4142,3.445
1.167,1.0,0.4196,3.495
1.2,1.0,0.3937,3.196
1.233,0.9897,0.4263,3.313
1.267,1.0,0.386,3.576
1.3,0.9678,0.3927,3.782
1.333,0.9967,0.4253,3.606
1.367,1.0,0.4393,2.896
1.4,0.9981,0.3794,3.057
1.433,0.9691,0.4573,2.868
1.467,1.0,0.4111,3.337
1.5,1.0,0.4261,3.224
1.533,0.9837,0.3793,3.07
1.567,1.0,0.4108,3.244
1.6,1.0,0.4317,3.352
1.633,1.0,0.4397,2.712
1.667,0.9889,0.4426,3.193
1.7,0.9643,0.4559,3.28
1.733,1.0,0.4561,3.604
1.767,0.0106,0.0588,4.412
1.8,0.0273,0.058,3.808
1.833,0.0168,0.0466,3.774
1.867,0.0068,0.0351,3.543
1.9,0.0041,0.0271,3.028
1.933,0.0,0.0599,3.956
1.967,0.018,0.0195,2.37
2.0,0.0,0.0457,3.289
2.033,0.0,0.071,3.885
2.067,0.0029,0.0642,3.596
2.1,0.0,0.0388,4.084
2.133,0.0,0.0393,3.116
2.167,0.0,0.0574,3.573
2.2,0.0,0.0524,3.461
2.233,0.022,0.0242,4.419
2.267,0.0339,0.0802,2.699
2.3,0.0021,0.0213,3.336
2.333,0.0,0.0558,3.319
2.367,0.0147,0.0411,3.364
2.4,0.053,0.0243,3.939
2.433,0.0235,0.0657,3.12
2.467,0.0143,0.0429,4.248
2.5,0.0,0.0653,3.225
2.533,0.0249,0.0487,3.224
2.567,0.0,0.0355,3.936
2.6,0.1379,0.6277,3.558
2.633,0.1427,0.6755,2.807
2.667,0.1585,0.6644,3.597
2.7,0.1933,0.6889,3.488
2.733,0.1475,0.6788,3.705
2.767,0.1418,0.6717,3.945
2.8,0.1559,0.6621,3.456
2.833,0.1191,0.7059,4.166
2.867,0.1222,0.6834,4.047
2.9,0.1149,0.6494,3.621
2.933,0.1164,0.66,3.371
2.967,0.1147,0.6826,3.425
3.0,0.1057,0.6197,3.022
3.033,0.0884,0.6808,3.208
3.067,0.1456,0.6479,3.242
3.1,0.1329,0.6572,3.694
3.133,0.1574,0.6598,3.388
3.167,0.1636,0.6663,3.353
3.2,0.1325,0.6807,3.319
3.233,0.1152,0.7142,2.87
3.267,0.1172,0.6813,3.654
3.3,0.1156,0.6565,3.786
3.333,0.1168,0.6845,3.711
3.367,0.13,0.698,3.259
3.4,0.1407,0.6543,3.685
3.433,0.1025,0.6435,3.555
3.467,0.1327,0.634,3.582
3.5,0.078,0.6865,3.118
3.533,0.1526,0.663,3.633
3.567,0.1652,0.6769,3.673
3.6,0.1387,0.6543,3.517
3.633,0.7283,0.8273,3.066
3.667,0.6741,0.8234,3.827
3.7,0.6816,0.7558,4.101
3.733,0.7039,0.8152,4.158
3.767,0.7093,0.813,4.093
3.8,0.6895,0.82,2.838
3.833,0.7057,0.8523,2.812
3.867,0.6784,0.8197,3.378
3.9,0.7291,0.8278,3.622
3.933,0.6752,0.8132,3.361
3.967,0.7331,0.8309,2.892
4.0,0.6832,0.8324,2.953
4.033,0.7551,0.7882,3.64
4.067,0.7477,0.8533,4.03
4.1,0.7194,0.8117,3.624
4.133,0.7361,0.805,3.15
4.167,0.6857,0.8113,3.996
4.2,0.7019,0.8406,3.364
4.233,0.7429,0.8659,3.384
4.267,0.6913,0.8284,4.382
4.3,0.718,0.812,4.043
4.333,0.7361,0.7986,3.329
4.367,0.9949,0.542,3.141
4.4,0.9863,0.5434,3.554
4.433,0.9822,0.5314,3.487
4.467,1.0,0.5294,3.81
4.5,0.9968,0.572,3.528
4.533,1.0,0.5566,3.963
4.567,1.0,0.5643,3.481
4.6,0.9876,0.5561,3.871
4.633,0.9963,0.6213,2.885
4.667,0.9974,0.5555,3.559
