t,x,y,pupil
0.0,1.0,0.0,3.144
0.033,0.9697,0.0,3.557
0.067,1.0,0.0,3.44
0.1,0.9942,0.0,3.194
0.133,1.0,0.0,3.019
0.167,1.0,0.0027,3.814
0.2,0.9898,0.0,2.658
0.233,0.9722,0.0056,4.406
0.267,1.0,0.0062,2.816
0.3,0.9679,0.0155,3.927
0.333,0.9854,0.0,3.8
0.367,0.9787,0.0472,3.948
0.4,0.9879,0.0234,4.112
0.433,0.9693,0.003,3.721
0.467,0.9894,0.0,3.24
0.5,1.0,0.0,3.977
0.533,0.998,0.0198,3.392
0.567,0.9885,0.0045,3.822
0.6,1.0,0.0111,3.723
0.633,1.0,0.0,3.609
0.667,0.1625,0.6468,4.315
0.7,0.1717,0.6398,3.141
0.733,0.1734,0.5965,3.018
0.767,0.1636,0.648,3.703
0.8,0.1463,0.6497,3.665
0.833,0.1459,0.6311,3.902
0.867,0.1518,0.623,3.479
0.9,0.1741,0.6611,3.673
0.933,0.1584,0.6448,3.004
0.967,0.1664,0.634,4.08
1.0,0.144,0.6634,3.526
1.033,0.1869,0.6696,3.634
1.067,0.1594,0.6421,3.799
1.1,0.2033,0.6945,3.578
1.133,0.1918,0.6169,3.467
1.167,0.1632,0.6488,3.668
1.2,0.1452,0.6024,3.771
1.233,0.17,0.6608,3.02
1.267,0.1637,0.6803,2.972
1.3,0.2423,0.6251,3.115
1.333,0.1581,0.6525,3.257
1.367,0.1481,0.6679,3.542
1.4,0.153,0.6559,3.625
1.433,0.0901,0.939,3.017
1.467,0.1225,0.9235,3.392
1.5,0.0619,0.9872,3.424
1.533,0.0675,0.9554,3.492
1.567,0.0928,0.9668,3.406
1.6,0.1119,0.9763,2.577
1.633,0.0809,0.9723,3.658
1.667,0.0966,0.9496,3.791
1.7,0.0804,1.0,3.64
1.733,0.0646,0.9586,3.336
1.767,0.0776,0.954,3.432
1.8,0.0968,0.9207,2.862
1.833,0.0494,0.9215,3.157
1.867,0.0876,0.9851,3.499
1.9,0.0733,0.9521,4.002
1.933,0.096,0.956,3.434
1.967,0.1492,0.9739,3.533
2.0,0.0671,0.9884,2.86
2.033,0.112,0.9766,2.567
2.067,0.0526,0.9279,4.311
2.1,0.0931,0.9901,2.856
2.133,0.0693,0.9729,3.692
2.167,0.0786,0.9497,4.097
2.2,0.0893,0.958,3.233
2.233,0.1071,0.9622,3.598
2.267,0.0902,0.9312,3.617
2.3,0.0581,0.967,3.724
2.333,0.0192,0.9578,3.245
2.367,0.829,0.4112,4.106
2.4,0.7841,0.3992,3.577
2.433,0.8046,0.3689,3.447
2.467,0.7964,0.387,3.223
2.5,0.7964,0.4026,3.524
2.533,0.8148,0.3626,3.585
2.567,0.8046,0.36,3.013
2.6,0.7889,0.3938,3.288
2.633,0.8564,0.3831,4.341
2.667,0.8535,0.4214,3.616
2.7,0.7791,0.4066,3.584
2.733,0.7891,0.3982,3.614
2.767,0.7951,0.3741,3.114
2.8,0.8205,0.4043,3.739
2.833,0.7919,0.3805,3.846
2.867,0.7818,0.3751,3.478
2.9,0.8349,0.3959,3.824
2.933,0.8106,0.3689,3.434
2.967,0.7992,0.3965,3.98
3.0,0.8204,0.3487,3.333
3.033,0.5971,0.2976,4.126
3.067,0.6195,0.3265,3.05
3.1,0.6128,0.3,4.23
3.133,0.6351,0.2734,3.405
3.167,0.5979,0.3145,3.991
3.2,0.6121,0.2882,2.658
3.233,0.6715,0.246,4.296
3.267,0.562,0.3007,3.401
3.3,0.6095,0.3084,3.552
3.333,0.6012,0.3259,2.968
3.367,0.6389,0.2872,3.812
3.4,0.6299,0.2369,3.537
3.433,0.6325,0.3009,3.438
3.467,0.6423,0.3024,2.973
3.5,0.6028,0.3165,3.238
3.533,0.5941,0.2717,3.603
3.567,0.6206,0.3231,2.421
3.6,0.7176,0.6832,3.906
3.633,0.7398,0.6838,3.861
3.667,0.7095,0.7055,3.624
3.7,0.6453,0.7212,3.232
3.733,0.7451,0.7045,3.701
3.767,0.7,0.7191,3.305
3.8,0.7115,0.6871,2.949
3.833,0.7228,0.7548,2.781
3.867,0.6832,0.7082,3.803
3.9,0.6787,0.6897,3.273
3.933,0.6921,0.7366,3.292
3.967,0.7283,0.7108,3.383
4.0,0.718,0.687,3.249
4.033,0.6905,0.6837,2.925
4.067,0.7074,0.6621,3.507
4.1,0.7219,0.7272,3.642
4.133,0.7056,0.7285,3.519
